"","x","y","z"
"X1","2022-01-10","3.00","226.80"
"X3","2022-01-24","6.00","228.80"
"X5","2022-02-14","2.00","228.80"
"X6","2022-02-28","4.00","228.80"
"X8","2022-03-28","6.00","228.80"
"X10","2022-04-11","3.00","228.80"
"X11","2022-04-25","5.00","228.80"
"X13","2022-05-30","6.00","228.80"
"X16","2022-07-18","3.00","244.58"
"X17","2022-07-25","6.00","244.58"
"X20","2022-09-01","2.00","244.58"
"X22","2022-09-30","6.00","244.58"
"X26","2022-10-31","5.00","244.58"
"X27","2022-11-07","5.00","244.58"
"X28","2022-11-14","2.00","263.50"
"X32","2022-12-27","3.00","263.50"
"X34","2023-01-18","5.00","263.50"
"X36","2023-02-06","8.00","263.50"
"X37","2023-02-13","7.00","263.50"
"X38","2023-02-17","2.00","263.50"
"X40","2023-02-27","6.00","263.50"
