"","x","y","z"
"X1","2022-01-10","4.00","168.73"
"X2","2022-01-17","4.00","168.73"
"X4","2022-02-07","4.00","168.73"
"X6","2022-02-28","3.00","212.36"
"X10","2022-04-11","3.00","212.36"
"X13","2022-05-30","3.00","212.36"
"X17","2022-07-25","3.00","255.27"
"X21","2022-09-29","10.00","255.27"
"X25","2022-10-24","10.00","255.27"
"X26","2022-10-31","2.00","255.27"
"X28","2022-11-14","3.00","298.00"
"X29","2022-11-28","3.00","298.00"
"X31","2022-12-12","2.00","298.00"
"X34","2023-01-18","6.00","349.82"
"X37","2023-02-13","6.00","349.82"
"X39","2023-02-20","10.00","349.82"
"X41","2023-03-01","3.00","349.82"
