"","x","y","z"
"X1","2022-01-10","30.00","672.32"
"X5","2022-02-14","25.00","672.32"
"X6","2022-02-28","20.00","672.32"
"X8","2022-03-28","40.00","771.25"
"X14","2022-06-22","10.00","771.25"
"X17","2022-07-25","18.00","771.25"
"X20","2022-09-01","40.00","771.25"
"X21","2022-09-29","2.00","771.25"
"X25","2022-10-24","10.00","823.27"
"X29","2022-11-28","10.00","823.27"
"X30","2022-12-05","5.00","823.27"
"X31","2022-12-12","3.00","823.27"
"X32","2022-12-27","10.00","823.27"
"X36","2023-02-06","30.00","875.40"
"X41","2023-03-01","25.00","875.40"
