"","x","y","z"
"X1","2022-01-10","4.00","122.40"
"X2","2022-01-17","8.00","122.40"
"X3","2022-01-24","4.00","122.40"
"X4","2022-02-07","2.00","122.40"
"X6","2022-02-28","6.00","231.69"
"X8","2022-03-28","8.00","231.69"
"X9","2022-04-04","2.00","231.69"
"X11","2022-04-25","10.00","231.69"
"X13","2022-05-30","5.00","231.69"
"X14","2022-06-22","6.00","231.69"
"X15","2022-06-27","10.00","231.69"
"X16","2022-07-18","6.00","231.69"
"X18","2022-08-01","3.00","285.00"
"X20","2022-09-01","10.00","285.00"
"X23","2022-10-03","2.00","285.00"
"X27","2022-11-07","4.00","285.00"
"X28","2022-11-14","4.00","285.00"
"X30","2022-12-05","5.00","340.70"
"X31","2022-12-12","5.00","340.70"
"X34","2023-01-18","2.00","340.70"
"X35","2023-01-30","1.00","340.70"
"X37","2023-02-13","10.00","340.70"
"X39","2023-02-20","2.00","340.70"
"X41","2023-03-01","8.00","340.70"
