"","x","y","z"
"X1","2022-01-10","3.00","109.64"
"X2","2022-01-17","3.00","109.64"
"X5","2022-02-14","6.00","109.64"
"X6","2022-02-28","10.00","109.64"
"X7","2022-03-21","6.00","109.64"
"X8","2022-03-28","9.00","109.64"
"X11","2022-04-25","6.00","148.00"
"X12","2022-05-16","3.00","148.00"
"X15","2022-06-27","10.00","148.00"
"X16","2022-07-18","10.00","148.00"
"X20","2022-09-01","10.00","148.00"
"X21","2022-09-29","10.00","125.18"
"X25","2022-10-24","10.00","125.18"
"X26","2022-10-31","9.00","125.18"
"X28","2022-11-14","13.00","125.18"
"X29","2022-11-28","10.00","125.18"
"X31","2022-12-12","3.00","153.00"
"X34","2023-01-18","8.00","153.00"
"X35","2023-01-30","10.00","153.00"
"X37","2023-02-13","6.00","153.00"
"X39","2023-02-20","3.00","153.00"
"X40","2023-02-27","10.00","153.00"
