"","x","y","z"
"X1","2022-01-10","2.00","495.84"
"X3","2022-01-24","3.00","495.84"
"X5","2022-02-14","1.00","495.84"
"X6","2022-02-28","1.00","495.84"
"X7","2022-03-21","2.00","495.84"
"X9","2022-04-04","4.00","495.84"
"X13","2022-05-30","1.00","551.97"
"X14","2022-06-22","2.00","551.97"
"X17","2022-07-25","5.00","551.97"
"X21","2022-09-29","3.00","551.97"
"X22","2022-09-30","2.00","640.80"
"X25","2022-10-24","10.00","640.80"
"X27","2022-11-07","3.00","640.80"
"X29","2022-11-28","2.00","640.80"
"X31","2022-12-12","3.00","640.80"
"X33","2023-01-16","2.00","833.03"
"X35","2023-01-30","4.00","833.03"
"X37","2023-02-13","2.00","833.03"
"X39","2023-02-20","1.00","833.03"
"X41","2023-03-01","3.00","833.03"
