"","x","y","z"
"X1","2022-01-10","3.00","302.00"
"X3","2022-01-24","2.00","302.00"
"X4","2022-02-07","6.00","302.00"
"X6","2022-02-28","1.00","302.00"
"X8","2022-03-28","2.00","302.00"
"X10","2022-04-11","1.00","440.00"
"X11","2022-04-25","1.00","440.00"
"X12","2022-05-16","6.00","440.00"
"X14","2022-06-22","3.00","440.00"
"X16","2022-07-18","2.00","440.00"
"X18","2022-08-01","6.00","440.00"
"X21","2022-09-29","3.00","568.00"
"X22","2022-09-30","1.00","568.00"
"X24","2022-10-12","10.00","568.00"
"X27","2022-11-07","5.00","568.00"
"X30","2022-12-05","1.00","568.00"
"X32","2022-12-27","1.00","568.00"
"X34","2023-01-18","6.00","854.00"
"X36","2023-02-06","3.00","854.00"
"X38","2023-02-17","4.00","854.00"
"X40","2023-02-27","5.00","854.00"
