"","x","y","z"
"X1","2022-01-10","3.00","122.67"
"X4","2022-02-07","10.00","122.67"
"X6","2022-02-28","5.00","122.67"
"X10","2022-04-11","9.00","135.33"
"X14","2022-06-22","10.00","135.33"
"X19","2022-08-22","5.00","135.33"
"X21","2022-09-29","5.00","135.33"
"X24","2022-10-12","10.00","148.20"
"X26","2022-10-31","3.00","148.20"
"X28","2022-11-14","5.00","148.20"
"X31","2022-12-12","5.00","148.20"
"X33","2023-01-16","5.00","148.20"
"X37","2023-02-13","10.00","160.00"
"X41","2023-03-01","5.00","160.00"
