"","x","y","z"
"X2","2022-01-17","2.00","244.98"
"X4","2022-02-07","1.00","244.98"
"X5","2022-02-14","3.00","244.98"
"X7","2022-03-21","6.00","318.48"
"X9","2022-04-04","1.00","318.48"
"X10","2022-04-11","2.00","318.48"
"X12","2022-05-16","1.00","318.48"
"X13","2022-05-30","3.00","392.50"
"X15","2022-06-27","6.00","392.50"
"X17","2022-07-25","1.00","392.50"
"X18","2022-08-01","4.00","392.50"
"X20","2022-09-01","2.00","392.50"
"X21","2022-09-29","2.00","392.50"
"X25","2022-10-24","10.00","467.40"
"X26","2022-10-31","1.00","467.40"
"X27","2022-11-07","2.00","467.40"
"X29","2022-11-28","1.00","467.40"
"X30","2022-12-05","3.00","467.40"
"X32","2022-12-27","6.00","467.40"
"X35","2023-01-30","2.00","467.40"
"X38","2023-02-17","3.00","542.74"
"X39","2023-02-20","2.00","542.74"
"X41","2023-03-01","1.00","542.74"
