"","x","y","z"
"X1","2022-01-10","20.00","64.26"
"X2","2022-01-17","20.00","64.26"
"X4","2022-02-07","8.00","64.26"
"X5","2022-02-14","8.00","64.26"
"X7","2022-03-21","20.00","64.26"
"X10","2022-04-11","8.00","85.50"
"X13","2022-05-30","20.00","85.50"
"X17","2022-07-25","3.00","85.50"
"X18","2022-08-01","6.00","85.50"
"X23","2022-10-03","30.00","106.00"
"X27","2022-11-07","10.00","106.00"
"X32","2022-12-27","20.00","106.00"
"X35","2023-01-30","6.00","106.00"
"X37","2023-02-13","3.00","106.00"
"X38","2023-02-17","10.00","106.00"
"X41","2023-03-01","20.00","106.00"
