"","x","y","z"
"X1","2022-01-10","1.00","270.00"
"X2","2022-01-17","2.00","270.00"
"X4","2022-02-07","3.00","270.00"
"X7","2022-03-21","1.00","299.77"
"X8","2022-03-28","2.00","299.77"
"X11","2022-04-25","3.00","299.77"
"X13","2022-05-30","1.00","327.00"
"X16","2022-07-18","3.00","327.00"
"X17","2022-07-25","2.00","327.00"
"X19","2022-08-22","1.00","327.00"
"X21","2022-09-29","2.00","327.00"
"X22","2022-09-30","2.00","327.00"
"X25","2022-10-24","10.00","358.39"
"X26","2022-10-31","10.00","358.39"
"X29","2022-11-28","3.00","358.39"
"X32","2022-12-27","5.00","358.39"
"X35","2023-01-30","2.00","378.00"
"X38","2023-02-17","4.00","378.00"
"X39","2023-02-20","1.00","378.00"
"X41","2023-03-01","2.00","378.00"
