"","x","y","z"
"X1","2022-01-10","20.00","163.94"
"X4","2022-02-07","20.00","163.94"
"X5","2022-02-14","10.00","150.67"
"X6","2022-02-28","20.00","150.67"
"X7","2022-03-21","8.00","150.67"
"X8","2022-03-28","10.00","137.40"
"X10","2022-04-11","10.00","137.40"
"X12","2022-05-16","10.00","137.40"
"X16","2022-07-18","4.00","177.20"
"X17","2022-07-25","10.00","177.20"
"X19","2022-08-22","20.00","177.20"
"X20","2022-09-01","10.00","177.20"
"X22","2022-09-30","10.00","177.20"
"X24","2022-10-12","10.00","177.20"
"X27","2022-11-07","6.00","163.94"
"X28","2022-11-14","10.00","163.94"
"X29","2022-11-28","10.00","163.94"
"X31","2022-12-12","10.00","166.67"
"X32","2022-12-27","10.00","166.67"
"X34","2023-01-18","30.00","173.33"
"X35","2023-01-30","6.00","173.33"
"X38","2023-02-17","10.00","217.00"
"X40","2023-02-27","10.00","217.00"
