"","x","y","z"
"X1","2022-01-10","20.00","161.13"
"X4","2022-02-07","10.00","161.13"
"X7","2022-03-21","10.00","161.13"
"X10","2022-04-11","10.00","180.00"
"X13","2022-05-30","5.00","180.00"
"X17","2022-07-25","10.00","180.00"
"X20","2022-09-01","5.00","180.00"
"X23","2022-10-03","10.00","210.00"
"X26","2022-10-31","10.00","210.00"
"X29","2022-11-28","5.00","210.00"
"X33","2023-01-16","20.00","210.00"
"X34","2023-01-18","5.00","234.00"
"X36","2023-02-06","20.00","234.00"
"X39","2023-02-20","10.00","234.00"
