"","x","y","z"
"X2","2022-01-17","20.00","216.67"
"X3","2022-01-24","10.00","216.67"
"X5","2022-02-14","20.00","216.67"
"X6","2022-02-28","10.00","216.67"
"X9","2022-04-04","5.00","243.33"
"X10","2022-04-11","10.00","243.33"
"X12","2022-05-16","20.00","243.33"
"X14","2022-06-22","10.00","243.33"
"X16","2022-07-18","15.00","284.67"
"X18","2022-08-01","15.00","284.67"
"X20","2022-09-01","20.00","284.67"
"X22","2022-09-30","5.00","284.67"
"X25","2022-10-24","10.00","284.67"
"X27","2022-11-07","5.00","308.05"
"X28","2022-11-14","10.00","308.05"
"X30","2022-12-05","3.00","308.05"
"X31","2022-12-12","20.00","308.05"
"X33","2023-01-16","3.00","308.05"
"X34","2023-01-18","15.00","308.05"
"X35","2023-01-30","10.00","341.00"
"X38","2023-02-17","20.00","341.00"
"X39","2023-02-20","5.00","341.00"
"X41","2023-03-01","20.00","341.00"
