"","x","y","z"
"X3","2022-01-24","4.00","224.40"
"X6","2022-02-28","7.00","224.40"
"X8","2022-03-28","5.00","224.40"
"X10","2022-04-11","4.00","224.40"
"X13","2022-05-30","6.00","224.40"
"X16","2022-07-18","5.00","224.40"
"X18","2022-08-01","3.00","224.40"
"X20","2022-09-01","4.00","276.00"
"X23","2022-10-03","10.00","276.00"
"X26","2022-10-31","6.00","276.00"
"X29","2022-11-28","3.00","276.00"
"X32","2022-12-27","7.00","328.00"
"X35","2023-01-30","5.00","328.00"
"X38","2023-02-17","6.00","328.00"
"X40","2023-02-27","3.00","328.00"
