"","x","y","z"
"X1","2022-01-10","5.00","258.30"
"X3","2022-01-24","2.00","258.30"
"X5","2022-02-14","6.00","258.30"
"X8","2022-03-28","10.00","258.30"
"X11","2022-04-25","4.00","258.30"
"X13","2022-05-30","3.00","258.30"
"X15","2022-06-27","10.00","288.00"
"X19","2022-08-22","3.00","288.00"
"X22","2022-09-30","6.00","288.00"
"X23","2022-10-03","10.00","316.00"
"X26","2022-10-31","5.00","316.00"
"X29","2022-11-28","6.00","316.00"
"X31","2022-12-12","2.00","316.00"
"X33","2023-01-16","5.00","316.00"
"X36","2023-02-06","6.00","316.00"
"X38","2023-02-17","2.00","316.00"
"X40","2023-02-27","10.00","316.00"
