"","x","y","z"
"X1","2022-01-10","6.00","149.09"
"X3","2022-01-24","4.00","149.09"
"X5","2022-02-14","4.00","149.09"
"X6","2022-02-28","4.00","149.09"
"X8","2022-03-28","6.00","149.09"
"X10","2022-04-11","4.00","149.09"
"X12","2022-05-16","6.00","158.41"
"X14","2022-06-22","4.00","158.41"
"X16","2022-07-18","6.00","158.41"
"X17","2022-07-25","4.00","158.41"
"X20","2022-09-01","2.00","173.00"
"X21","2022-09-29","4.00","173.00"
"X25","2022-10-24","10.00","173.00"
"X26","2022-10-31","2.00","173.00"
"X28","2022-11-14","4.00","158.41"
"X31","2022-12-12","6.00","158.41"
"X34","2023-01-18","5.00","158.41"
"X37","2023-02-13","4.00","158.41"
"X38","2023-02-17","4.00","158.41"
"X40","2023-02-27","2.00","158.41"
"X41","2023-03-01","6.00","158.41"
