"","x","y","z"
"X2","2022-01-17","4.00","304.26"
"X4","2022-02-07","3.00","304.26"
"X6","2022-02-28","6.00","304.26"
"X9","2022-04-04","10.00","304.26"
"X12","2022-05-16","3.00","452.00"
"X13","2022-05-30","2.00","452.00"
"X14","2022-06-22","2.00","452.00"
"X16","2022-07-18","10.00","452.00"
"X18","2022-08-01","4.00","452.00"
"X21","2022-09-29","13.00","589.20"
"X24","2022-10-12","10.00","589.20"
"X26","2022-10-31","3.00","589.20"
"X27","2022-11-07","2.00","589.20"
"X29","2022-11-28","10.00","589.20"
"X31","2022-12-12","5.00","737.00"
"X33","2023-01-16","6.00","737.00"
"X35","2023-01-30","3.00","737.00"
"X36","2023-02-06","2.00","737.00"
"X39","2023-02-20","10.00","737.00"
"X41","2023-03-01","3.00","737.00"
