"","x","y","z"
"X1","2022-01-10","2.00","117.90"
"X3","2022-01-24","3.00","117.90"
"X5","2022-02-14","2.00","117.90"
"X7","2022-03-21","3.00","117.90"
"X9","2022-04-04","2.00","117.90"
"X10","2022-04-11","1.00","117.90"
"X12","2022-05-16","2.00","146.80"
"X14","2022-06-22","3.00","146.80"
"X16","2022-07-18","4.00","146.80"
"X18","2022-08-01","2.00","146.80"
"X19","2022-08-22","3.00","146.80"
"X22","2022-09-30","5.00","146.80"
"X24","2022-10-12","10.00","146.80"
"X26","2022-10-31","4.00","175.70"
"X28","2022-11-14","2.00","175.70"
"X30","2022-12-05","3.00","175.70"
"X32","2022-12-27","2.00","175.70"
"X33","2023-01-16","1.00","175.70"
"X35","2023-01-30","7.00","204.60"
"X38","2023-02-17","2.00","204.60"
"X41","2023-03-01","3.00","204.60"
