"","x","y","z"
"X3","2022-01-24","6.00","495.56"
"X5","2022-02-14","2.00","495.56"
"X7","2022-03-21","6.00","495.56"
"X9","2022-04-04","4.00","495.56"
"X10","2022-04-11","6.00","465.45"
"X13","2022-05-30","4.00","465.45"
"X14","2022-06-22","6.00","465.45"
"X18","2022-08-01","1.00","465.45"
"X19","2022-08-22","2.00","465.45"
"X22","2022-09-30","3.00","465.45"
"X25","2022-10-24","10.00","465.45"
"X26","2022-10-31","6.00","525.00"
"X28","2022-11-14","4.00","525.00"
"X31","2022-12-12","8.00","525.00"
"X34","2023-01-18","4.00","525.00"
"X37","2023-02-13","2.00","525.00"
"X40","2023-02-27","6.00","525.00"
