"","x","y","z"
"X1","2022-01-10","3.00","125.40"
"X3","2022-01-24","2.00","125.40"
"X5","2022-02-14","6.00","125.40"
"X7","2022-03-21","5.00","125.40"
"X10","2022-04-11","4.00","178.00"
"X13","2022-05-30","6.00","178.00"
"X16","2022-07-18","5.00","178.00"
"X19","2022-08-22","2.00","178.00"
"X22","2022-09-30","2.00","241.20"
"X26","2022-10-31","4.00","241.20"
"X30","2022-12-05","7.00","241.20"
"X33","2023-01-16","5.00","241.20"
"X36","2023-02-06","3.00","241.20"
"X38","2023-02-17","2.00","241.20"
"X41","2023-03-01","4.00","241.20"
