"","x","y","z"
"X1","2022-01-10","4.00","218.08"
"X2","2022-01-17","2.00","218.08"
"X5","2022-02-14","9.00","218.08"
"X6","2022-02-28","10.00","239.13"
"X8","2022-03-28","6.00","239.13"
"X10","2022-04-11","4.00","239.13"
"X13","2022-05-30","6.00","239.13"
"X15","2022-06-27","2.00","261.61"
"X16","2022-07-18","10.00","261.61"
"X21","2022-09-29","5.00","261.61"
"X25","2022-10-24","10.00","261.61"
"X29","2022-11-28","4.00","303.00"
"X31","2022-12-12","8.00","303.00"
"X34","2023-01-18","3.00","303.00"
"X36","2023-02-06","2.00","303.00"
"X37","2023-02-13","8.00","359.71"
"X38","2023-02-17","8.00","359.71"
"X41","2023-03-01","10.00","359.71"
