"","x","y","z"
"X1","2022-01-10","3.00","174.67"
"X4","2022-02-07","6.00","174.67"
"X7","2022-03-21","2.00","174.67"
"X8","2022-03-28","1.00","174.67"
"X10","2022-04-11","4.00","174.67"
"X11","2022-04-25","2.00","210.00"
"X14","2022-06-22","6.00","210.00"
"X17","2022-07-25","3.00","210.00"
"X18","2022-08-01","1.00","210.00"
"X20","2022-09-01","2.00","210.00"
"X21","2022-09-29","4.00","210.00"
"X25","2022-10-24","10.00","246.50"
"X27","2022-11-07","3.00","246.50"
"X29","2022-11-28","6.00","246.50"
"X31","2022-12-12","2.00","246.50"
"X34","2023-01-18","3.00","246.50"
"X37","2023-02-13","2.00","288.40"
"X39","2023-02-20","2.00","288.40"
"X41","2023-03-01","3.00","288.40"
