"","x","y","z"
"X1","2022-01-10","4.00","1461.92"
"X3","2022-01-24","1.00","1461.92"
"X4","2022-02-07","2.00","1461.92"
"X6","2022-02-28","1.00","1461.92"
"X7","2022-03-21","3.00","1461.92"
"X8","2022-03-28","2.00","1490.23"
"X10","2022-04-11","4.00","1490.23"
"X11","2022-04-25","2.00","1490.23"
"X12","2022-05-16","2.00","1315.73"
"X13","2022-05-30","1.00","1315.73"
"X14","2022-06-22","1.00","1315.73"
"X15","2022-06-27","2.00","1315.73"
"X17","2022-07-25","4.00","1315.73"
"X19","2022-08-22","3.00","1636.00"
"X21","2022-09-29","5.00","1636.00"
"X23","2022-10-03","10.00","1636.00"
"X24","2022-10-12","10.00","1636.00"
"X25","2022-10-24","10.00","1636.00"
"X27","2022-11-07","5.00","1801.00"
"X30","2022-12-05","3.00","1801.00"
"X32","2022-12-27","1.00","1801.00"
"X33","2023-01-16","2.00","1801.00"
"X35","2023-01-30","3.00","1801.00"
"X37","2023-02-13","2.00","1801.00"
"X39","2023-02-20","5.00","1801.00"
"X41","2023-03-01","4.00","1801.00"
