"","x","y","z"
"X1","2022-01-10","6.00","213.31"
"X2","2022-01-17","2.00","213.31"
"X4","2022-02-07","6.00","213.31"
"X6","2022-02-28","6.00","213.31"
"X7","2022-03-21","4.00","240.62"
"X8","2022-03-28","3.00","240.62"
"X12","2022-05-16","10.00","240.62"
"X13","2022-05-30","10.00","240.62"
"X15","2022-06-27","10.00","267.93"
"X16","2022-07-18","6.00","267.93"
"X18","2022-08-01","4.00","267.93"
"X21","2022-09-29","8.00","295.00"
"X22","2022-09-30","6.00","295.00"
"X24","2022-10-12","3.00","295.00"
"X27","2022-11-07","3.00","295.00"
"X29","2022-11-28","4.00","323.00"
"X31","2022-12-12","4.00","323.00"
"X34","2023-01-18","5.00","323.00"
"X36","2023-02-06","6.00","323.00"
"X39","2023-02-20","7.00","361.96"
"X41","2023-03-01","3.00","361.96"
