"","x","y","z"
"X1","2022-01-10","6.00","465.45"
"X4","2022-02-07","3.00","465.45"
"X6","2022-02-28","8.00","465.46"
"X9","2022-04-04","4.00","616.00"
"X12","2022-05-16","10.00","616.00"
"X15","2022-06-27","3.00","616.00"
"X18","2022-08-01","10.00","470.00"
"X21","2022-09-29","5.00","470.00"
"X24","2022-10-12","10.00","470.00"
"X26","2022-10-31","1.00","470.00"
"X28","2022-11-14","6.00","621.60"
"X30","2022-12-05","10.00","621.60"
"X32","2022-12-27","10.00","621.60"
"X35","2023-01-30","10.00","621.60"
"X38","2023-02-17","10.00","621.60"
"X41","2023-03-01","8.00","475.00"
