"","x","y","z"
"X1","2022-01-10","4.00","216.40"
"X3","2022-01-24","2.00","216.40"
"X5","2022-02-14","4.00","216.40"
"X6","2022-02-28","10.00","216.40"
"X9","2022-04-04","3.00","240.00"
"X11","2022-04-25","3.00","240.00"
"X12","2022-05-16","10.00","240.00"
"X15","2022-06-27","5.00","240.00"
"X18","2022-08-01","3.00","264.00"
"X20","2022-09-01","10.00","264.00"
"X21","2022-09-29","3.00","264.00"
"X25","2022-10-24","10.00","264.00"
"X26","2022-10-31","10.00","291.00"
"X30","2022-12-05","4.00","291.00"
"X33","2023-01-16","3.00","291.00"
"X36","2023-02-06","4.00","323.00"
"X38","2023-02-17","2.00","323.00"
"X41","2023-03-01","6.00","323.00"
