"","x","y","z"
"X1","2022-01-10","6.00","222.89"
"X5","2022-02-14","6.00","222.89"
"X8","2022-03-28","3.00","222.89"
"X11","2022-04-25","5.00","222.89"
"X14","2022-06-22","2.00","232.87"
"X17","2022-07-25","7.00","232.87"
"X20","2022-09-01","3.00","232.87"
"X22","2022-09-30","6.00","232.87"
"X26","2022-10-31","2.00","232.87"
"X29","2022-11-28","3.00","320.05"
"X31","2022-12-12","5.00","320.05"
"X34","2023-01-18","2.00","320.05"
"X37","2023-02-13","2.00","320.05"
"X39","2023-02-20","8.00","320.05"
"X41","2023-03-01","3.00","320.05"
