"","x","y","z"
"X1","2022-01-10","14.00","49.08"
"X3","2022-01-24","2.00","49.08"
"X4","2022-02-07","6.00","49.08"
"X6","2022-02-28","10.00","49.08"
"X7","2022-03-21","12.00","55.27"
"X9","2022-04-04","3.00","55.27"
"X12","2022-05-16","3.00","55.27"
"X13","2022-05-30","5.00","55.27"
"X16","2022-07-18","4.00","55.27"
"X17","2022-07-25","5.00","67.65"
"X18","2022-08-01","2.00","67.65"
"X20","2022-09-01","6.00","67.65"
"X22","2022-09-30","5.00","67.65"
"X27","2022-11-07","7.00","83.34"
"X32","2022-12-27","2.00","83.34"
"X34","2023-01-18","8.00","83.34"
"X37","2023-02-13","10.00","92.58"
"X39","2023-02-20","8.00","92.58"
"X41","2023-03-01","2.00","92.58"
