"","x","y","z"
"X1","2022-01-10","2.00","176.73"
"X3","2022-01-24","12.00","176.73"
"X10","2022-04-11","10.00","202.91"
"X13","2022-05-30","4.00","215.59"
"X15","2022-06-27","10.00","232.00"
"X16","2022-07-18","8.00","215.59"
"X17","2022-07-25","10.00","215.59"
"X21","2022-09-29","6.00","215.59"
"X22","2022-09-30","6.00","366.00"
"X27","2022-11-07","4.00","215.59"
"X28","2022-11-14","1.00","215.59"
"X29","2022-11-28","10.00","215.59"
"X31","2022-12-12","13.00","215.59"
"X34","2023-01-18","10.00","223.32"
"X36","2023-02-06","10.00","289.00"
"X38","2023-02-17","10.00","289.00"
"X39","2023-02-20","10.00","289.00"
