"","x","y","z"
"X1","2022-01-10","10.00","157.09"
"X4","2022-02-07","10.00","157.09"
"X6","2022-02-28","10.00","157.09"
"X8","2022-03-28","5.00","157.09"
"X11","2022-04-25","20.00","179.64"
"X16","2022-07-18","10.00","179.64"
"X20","2022-09-01","10.00","179.64"
"X23","2022-10-03","10.00","208.00"
"X25","2022-10-24","10.00","208.00"
"X28","2022-11-14","5.00","208.00"
"X31","2022-12-12","10.00","208.00"
"X35","2023-01-30","5.00","246.00"
"X37","2023-02-13","5.00","246.00"
"X40","2023-02-27","5.00","246.00"
"X41","2023-03-01","10.00","246.00"
