"","x","y","z"
"X2","2022-01-17","30.00","220.25"
"X4","2022-02-07","20.00","220.25"
"X6","2022-02-28","40.00","220.25"
"X9","2022-04-04","30.00","220.25"
"X11","2022-04-25","20.00","256.00"
"X14","2022-06-22","30.00","256.00"
"X17","2022-07-25","15.00","256.00"
"X19","2022-08-22","20.00","292.80"
"X23","2022-10-03","10.00","292.80"
"X26","2022-10-31","15.00","292.80"
"X29","2022-11-28","30.00","292.80"
"X32","2022-12-27","40.00","328.00"
"X35","2023-01-30","20.00","328.00"
"X37","2023-02-13","20.00","328.00"
"X40","2023-02-27","10.00","328.00"
