"","x","y","z"
"X2","2022-01-17","5.00","109.64"
"X5","2022-02-14","6.00","109.64"
"X6","2022-02-28","10.00","109.64"
"X7","2022-03-21","7.00","109.64"
"X8","2022-03-28","8.00","109.64"
"X11","2022-04-25","20.00","109.64"
"X12","2022-05-16","15.00","125.18"
"X14","2022-06-22","10.00","125.00"
"X17","2022-07-25","6.00","125.00"
"X20","2022-09-01","10.00","125.00"
"X21","2022-09-29","10.00","125.00"
"X22","2022-09-30","10.00","134.00"
"X26","2022-10-31","10.00","134.00"
"X30","2022-12-05","7.00","134.00"
"X34","2023-01-18","15.00","134.00"
"X35","2023-01-30","10.00","134.00"
"X40","2023-02-27","8.00","134.00"
