"","x","y","z"
"X1","2022-01-10","4.00","122.91"
"X3","2022-01-24","4.00","122.91"
"X6","2022-02-28","4.00","122.91"
"X9","2022-04-04","6.00","147.64"
"X11","2022-04-25","6.00","147.64"
"X13","2022-05-30","2.00","147.64"
"X15","2022-06-27","6.00","147.64"
"X18","2022-08-01","2.00","147.64"
"X20","2022-09-01","4.00","172.00"
"X21","2022-09-29","4.00","172.00"
"X25","2022-10-24","4.00","197.50"
"X27","2022-11-07","2.00","197.50"
"X29","2022-11-28","4.00","197.50"
"X32","2022-12-27","4.00","283.64"
"X35","2023-01-30","3.00","283.64"
"X39","2023-02-20","6.00","340.36"
"X41","2023-03-01","2.00","340.36"
