"","x","y","z"
"X1","2022-01-10","3.00","378.00"
"X3","2022-01-24","2.00","378.00"
"X4","2022-02-07","1.00","378.00"
"X7","2022-03-21","5.00","378.00"
"X10","2022-04-11","3.00","378.00"
"X13","2022-05-30","4.00","288.00"
"X16","2022-07-18","6.00","288.00"
"X19","2022-08-22","3.00","288.00"
"X22","2022-09-30","5.00","288.00"
"X25","2022-10-24","10.00","316.00"
"X28","2022-11-14","3.00","316.00"
"X31","2022-12-12","2.00","316.00"
"X33","2023-01-16","3.00","316.00"
"X36","2023-02-06","4.00","316.00"
"X39","2023-02-20","5.00","316.00"
"X41","2023-03-01","2.00","316.00"
