"","x","y","z"
"X1","2022-01-10","10.00","122.40"
"X3","2022-01-24","5.00","122.40"
"X4","2022-02-07","3.00","122.40"
"X5","2022-02-14","10.00","122.40"
"X6","2022-02-28","10.00","122.40"
"X7","2022-03-21","15.00","122.40"
"X10","2022-04-11","10.00","122.40"
"X12","2022-05-16","4.00","122.40"
"X13","2022-05-30","10.00","122.40"
"X14","2022-06-22","10.00","122.40"
"X16","2022-07-18","10.00","138.00"
"X17","2022-07-25","10.00","138.00"
"X19","2022-08-22","4.00","138.00"
"X20","2022-09-01","10.00","138.00"
"X21","2022-09-29","10.00","138.00"
"X24","2022-10-12","10.00","138.00"
"X25","2022-10-24","10.00","138.00"
"X26","2022-10-31","10.00","138.00"
"X29","2022-11-28","10.00","138.00"
"X30","2022-12-05","10.00","138.00"
"X32","2022-12-27","10.00","144.00"
"X34","2023-01-18","10.00","144.00"
"X36","2023-02-06","10.00","144.00"
"X37","2023-02-13","10.00","144.00"
"X39","2023-02-20","3.00","168.30"
"X41","2023-03-01","10.00","168.30"
