"","x","y","z"
"X2","2022-01-17","10.00","109.64"
"X4","2022-02-07","6.00","109.64"
"X7","2022-03-21","15.00","109.64"
"X11","2022-04-25","20.00","109.64"
"X12","2022-05-16","10.00","125.18"
"X14","2022-06-22","20.00","125.18"
"X18","2022-08-01","8.00","125.18"
"X21","2022-09-29","15.00","125.18"
"X24","2022-10-12","10.00","125.18"
"X27","2022-11-07","15.00","141.50"
"X30","2022-12-05","10.00","141.50"
"X31","2022-12-12","10.00","141.50"
"X32","2022-12-27","10.00","141.50"
"X36","2023-02-06","6.00","153.00"
"X38","2023-02-17","10.00","153.00"
"X41","2023-03-01","10.00","153.00"
