"","x","y","z"
"X1","2022-01-10","3.00","297.09"
"X2","2022-01-17","3.00","297.09"
"X4","2022-02-07","12.00","297.09"
"X6","2022-02-28","9.00","297.09"
"X7","2022-03-21","5.00","297.09"
"X11","2022-04-25","10.00","386.22"
"X12","2022-05-16","12.00","386.22"
"X13","2022-05-30","6.00","386.22"
"X16","2022-07-18","1.00","386.22"
"X17","2022-07-25","3.00","386.22"
"X18","2022-08-01","8.00","475.20"
"X20","2022-09-01","12.00","475.20"
"X21","2022-09-29","4.00","475.20"
"X22","2022-09-30","9.00","475.20"
"X24","2022-10-12","10.00","475.20"
"X26","2022-10-31","10.00","564.80"
"X28","2022-11-14","6.00","564.80"
"X30","2022-12-05","4.00","564.80"
"X31","2022-12-12","2.00","564.80"
"X32","2022-12-27","6.00","564.80"
"X34","2023-01-18","3.00","653.00"
"X35","2023-01-30","5.00","653.00"
"X37","2023-02-13","6.00","653.00"
"X38","2023-02-17","2.00","653.00"
"X40","2023-02-27","3.00","653.00"
"X41","2023-03-01","3.00","653.00"
