"","x","y","z"
"X2","2022-01-17","4.00","279.90"
"X4","2022-02-07","4.00","279.90"
"X6","2022-02-28","6.00","279.90"
"X9","2022-04-04","10.00","279.90"
"X11","2022-04-25","4.00","279.90"
"X13","2022-05-30","4.00","279.90"
"X15","2022-06-27","6.00","279.90"
"X18","2022-08-01","10.00","279.90"
"X22","2022-09-30","6.00","279.90"
"X23","2022-10-03","10.00","311.00"
"X26","2022-10-31","4.00","311.00"
"X28","2022-11-14","4.00","311.00"
"X29","2022-11-28","2.00","311.00"
"X32","2022-12-27","6.00","311.00"
"X35","2023-01-30","10.00","311.00"
"X38","2023-02-17","6.00","311.00"
"X41","2023-03-01","4.00","311.00"
