"","x","y","z"
"X1","2022-01-10","6.00","116.36"
"X3","2022-01-24","3.00","116.36"
"X5","2022-02-14","2.00","116.36"
"X6","2022-02-28","3.00","116.36"
"X9","2022-04-04","4.00","130.00"
"X10","2022-04-11","5.00","130.00"
"X14","2022-06-22","2.00","130.00"
"X17","2022-07-25","7.00","130.00"
"X20","2022-09-01","5.00","102.73"
"X25","2022-10-24","10.00","102.73"
"X28","2022-11-14","2.00","102.73"
"X31","2022-12-12","4.00","102.73"
"X33","2023-01-16","3.00","144.00"
"X36","2023-02-06","4.00","144.00"
"X38","2023-02-17","2.00","144.00"
"X40","2023-02-27","5.00","144.00"
