"","x","y","z"
"X2","2022-01-17","8.00","125.09"
"X4","2022-02-07","4.00","125.09"
"X5","2022-02-14","2.00","125.09"
"X7","2022-03-21","6.00","125.09"
"X9","2022-04-04","6.00","189.00"
"X11","2022-04-25","10.00","189.00"
"X14","2022-06-22","8.00","189.00"
"X16","2022-07-18","2.00","189.00"
"X17","2022-07-25","6.00","253.40"
"X20","2022-09-01","10.00","253.40"
"X23","2022-10-03","10.00","253.40"
"X26","2022-10-31","7.00","211.00"
"X29","2022-11-28","10.00","211.00"
"X32","2022-12-27","8.00","211.00"
"X35","2023-01-30","6.00","211.00"
"X36","2023-02-06","2.00","189.00"
"X38","2023-02-17","5.00","189.00"
"X40","2023-02-27","7.00","189.00"
