"","x","y","z"
"X2","2022-01-17","3.00","166.55"
"X4","2022-02-07","5.00","166.55"
"X7","2022-03-21","8.00","166.55"
"X9","2022-04-04","4.00","166.55"
"X12","2022-05-16","3.00","282.00"
"X13","2022-05-30","2.00","282.00"
"X15","2022-06-27","10.00","282.00"
"X18","2022-08-01","5.00","282.00"
"X21","2022-09-29","20.00","282.00"
"X23","2022-10-03","10.00","282.00"
"X26","2022-10-31","15.00","398.40"
"X29","2022-11-28","10.00","398.40"
"X31","2022-12-12","2.00","398.40"
"X33","2023-01-16","30.00","398.40"
"X37","2023-02-13","6.00","398.40"
"X41","2023-03-01","10.00","398.40"
