"","x","y","z"
"X1","2022-01-10","9.00","224.13"
"X2","2022-01-17","3.00","224.13"
"X3","2022-01-24","3.00","224.13"
"X5","2022-02-14","10.00","224.13"
"X7","2022-03-21","10.00","224.13"
"X10","2022-04-11","2.00","246.60"
"X13","2022-05-30","6.00","246.60"
"X14","2022-06-22","7.00","246.60"
"X16","2022-07-18","8.00","246.60"
"X18","2022-08-01","3.00","246.60"
"X21","2022-09-29","3.00","246.60"
"X22","2022-09-30","9.00","268.80"
"X25","2022-10-24","10.00","268.80"
"X28","2022-11-14","6.00","268.80"
"X31","2022-12-12","2.00","268.80"
"X32","2022-12-27","10.00","268.80"
"X35","2023-01-30","3.00","300.50"
"X36","2023-02-06","2.00","300.50"
"X38","2023-02-17","8.00","300.50"
"X41","2023-03-01","6.00","300.50"
