"","x","y","z"
"X1","2022-01-10","8.00","158.55"
"X2","2022-01-17","10.00","158.55"
"X6","2022-02-28","6.00","158.55"
"X7","2022-03-21","10.00","158.55"
"X11","2022-04-25","4.00","168.46"
"X12","2022-05-16","10.00","168.46"
"X13","2022-05-30","4.00","168.46"
"X16","2022-07-18","4.00","168.46"
"X20","2022-09-01","20.00","206.00"
"X25","2022-10-24","10.00","206.00"
"X28","2022-11-14","6.00","231.27"
"X31","2022-12-12","2.00","231.27"
"X32","2022-12-27","4.00","231.27"
"X35","2023-01-30","4.00","231.27"
"X36","2023-02-06","3.00","231.27"
"X37","2023-02-13","8.00","231.27"
"X40","2023-02-27","10.00","231.27"
