"","x","y","z"
"X1","2022-01-10","3.00","136.00"
"X3","2022-01-24","1.00","136.00"
"X5","2022-02-14","5.00","136.00"
"X6","2022-02-28","3.00","136.00"
"X10","2022-04-11","2.00","136.00"
"X11","2022-04-25","8.00","156.36"
"X16","2022-07-18","2.00","156.36"
"X19","2022-08-22","5.00","156.36"
"X20","2022-09-01","8.00","156.36"
"X24","2022-10-12","6.00","156.36"
"X27","2022-11-07","2.00","176.95"
"X29","2022-11-28","3.00","176.95"
"X31","2022-12-12","3.00","176.95"
"X34","2023-01-18","1.00","176.95"
"X36","2023-02-06","2.00","196.40"
"X38","2023-02-17","6.00","196.40"
"X41","2023-03-01","4.00","196.40"
