"","x","y","z"
"X1","2022-01-10","2.00","1949.09"
"X3","2022-01-24","1.00","1949.09"
"X4","2022-02-07","1.00","1949.09"
"X6","2022-02-28","3.00","1949.09"
"X8","2022-03-28","2.00","1949.09"
"X11","2022-04-25","2.00","1949.09"
"X13","2022-05-30","1.00","2142.55"
"X16","2022-07-18","2.00","2142.55"
"X17","2022-07-25","1.00","2142.55"
"X20","2022-09-01","3.00","2142.55"
"X23","2022-10-03","10.00","2142.55"
"X24","2022-10-12","10.00","2680.00"
"X29","2022-11-28","4.00","2680.00"
"X32","2022-12-27","1.00","2680.00"
"X35","2023-01-30","2.00","2680.00"
"X37","2023-02-13","3.00","2680.00"
"X40","2023-02-27","4.00","3089.12"
