"","x","y","z"
"X2","2022-01-17","4.00","143.02"
"X5","2022-02-14","4.00","143.02"
"X8","2022-03-28","3.00","143.02"
"X11","2022-04-25","3.00","216.17"
"X14","2022-06-22","5.00","216.17"
"X17","2022-07-25","5.00","216.17"
"X20","2022-09-01","3.00","278.00"
"X21","2022-09-29","2.00","278.00"
"X24","2022-10-12","10.00","278.00"
"X27","2022-11-07","3.00","278.00"
"X30","2022-12-05","4.00","278.00"
"X33","2023-01-16","4.00","369.00"
"X37","2023-02-13","3.00","369.00"
"X41","2023-03-01","5.00","369.00"
