"","x","y","z"
"X2","2022-01-17","2.00","160.00"
"X4","2022-02-07","3.00","160.00"
"X6","2022-02-28","5.00","160.00"
"X9","2022-04-04","4.00","160.00"
"X11","2022-04-25","2.00","210.00"
"X13","2022-05-30","3.00","210.00"
"X15","2022-06-27","4.00","210.00"
"X17","2022-07-25","2.00","210.00"
"X20","2022-09-01","4.00","260.00"
"X23","2022-10-03","10.00","260.00"
"X26","2022-10-31","2.00","260.00"
"X28","2022-11-14","3.00","260.00"
"X30","2022-12-05","4.00","310.00"
"X32","2022-12-27","2.00","310.00"
"X35","2023-01-30","1.00","310.00"
"X36","2023-02-06","6.00","310.00"
"X39","2023-02-20","3.00","310.00"
"X41","2023-03-01","2.00","310.00"
