"","x","y","z"
"X2","2022-01-17","4.00","226.18"
"X4","2022-02-07","2.00","226.18"
"X5","2022-02-14","4.00","226.18"
"X8","2022-03-28","3.00","250.91"
"X10","2022-04-11","2.00","250.91"
"X12","2022-05-16","4.00","250.91"
"X14","2022-06-22","3.00","250.91"
"X16","2022-07-18","2.00","274.80"
"X18","2022-08-01","2.00","274.80"
"X20","2022-09-01","5.00","274.80"
"X22","2022-09-30","3.00","274.80"
"X24","2022-10-12","10.00","298.20"
"X27","2022-11-07","2.00","298.20"
"X29","2022-11-28","3.00","298.20"
"X31","2022-12-12","4.00","298.20"
"X33","2023-01-16","3.00","298.20"
"X35","2023-01-30","4.00","298.20"
"X38","2023-02-17","2.00","318.50"
"X41","2023-03-01","6.00","318.50"
