"","x","y","z"
"X2","2022-01-17","2.00","503.05"
"X5","2022-02-14","4.00","503.05"
"X8","2022-03-28","2.00","503.05"
"X9","2022-04-04","1.00","503.05"
"X12","2022-05-16","3.00","568.00"
"X15","2022-06-27","2.00","568.00"
"X18","2022-08-01","4.00","568.00"
"X21","2022-09-29","2.00","568.00"
"X22","2022-09-30","1.00","568.00"
"X25","2022-10-24","3.00","633.00"
"X28","2022-11-14","4.00","633.00"
"X31","2022-12-12","2.00","633.00"
"X34","2023-01-18","4.00","633.00"
"X37","2023-02-13","2.00","698.20"
"X38","2023-02-17","1.00","698.20"
"X41","2023-03-01","3.00","698.20"
