"","x","y","z"
"X1","2022-01-10","10.00","160.73"
"X4","2022-02-07","2.00","160.73"
"X6","2022-02-28","4.00","160.73"
"X7","2022-03-21","10.00","160.73"
"X9","2022-04-04","2.00","184.00"
"X10","2022-04-11","8.00","184.00"
"X13","2022-05-30","4.00","184.00"
"X14","2022-06-22","10.00","184.00"
"X16","2022-07-18","2.00","208.50"
"X18","2022-08-01","4.00","208.50"
"X21","2022-09-29","10.00","208.50"
"X24","2022-10-12","10.00","208.50"
"X28","2022-11-14","10.00","222.96"
"X30","2022-12-05","6.00","222.96"
"X32","2022-12-27","2.00","222.96"
"X35","2023-01-30","10.00","222.96"
"X37","2023-02-13","10.00","256.00"
"X40","2023-02-27","4.00","256.00"
"X41","2023-03-01","3.00","256.00"
