"","x","y","z"
"X1","2022-01-10","6.00","133.85"
"X5","2022-02-14","5.00","133.85"
"X6","2022-02-28","10.00","133.85"
"X10","2022-04-11","3.00","133.85"
"X12","2022-05-16","2.00","133.85"
"X13","2022-05-30","3.00","170.80"
"X14","2022-06-22","5.00","170.80"
"X16","2022-07-18","6.00","170.80"
"X17","2022-07-25","4.00","170.80"
"X20","2022-09-01","10.00","207.20"
"X22","2022-09-30","13.00","207.20"
"X24","2022-10-12","10.00","207.20"
"X28","2022-11-14","7.00","207.20"
"X31","2022-12-12","4.00","207.20"
"X34","2023-01-18","2.00","244.50"
"X36","2023-02-06","1.00","244.50"
"X40","2023-02-27","10.00","244.50"
