"","x","y","z"
"X1","2022-01-10","4.00","271.28"
"X3","2022-01-24","3.00","271.28"
"X4","2022-02-07","4.00","271.28"
"X6","2022-02-28","4.00","271.28"
"X7","2022-03-21","6.00","330.73"
"X9","2022-04-04","4.00","330.73"
"X10","2022-04-11","4.00","330.73"
"X13","2022-05-30","4.00","330.73"
"X15","2022-06-27","4.00","330.73"
"X17","2022-07-25","6.00","380.37"
"X19","2022-08-22","4.00","380.37"
"X20","2022-09-01","1.00","380.37"
"X23","2022-10-03","10.00","380.37"
"X25","2022-10-24","5.00","380.37"
"X27","2022-11-07","4.00","380.37"
"X29","2022-11-28","4.00","437.09"
"X32","2022-12-27","5.00","437.09"
"X34","2023-01-18","4.00","437.09"
"X37","2023-02-13","4.00","437.09"
"X40","2023-02-27","4.00","437.09"
