"","x","y","z"
"X2","2022-01-17","3.00","101.48"
"X4","2022-02-07","4.00","101.48"
"X6","2022-02-28","3.00","101.48"
"X8","2022-03-28","4.00","101.48"
"X10","2022-04-11","5.00","138.40"
"X12","2022-05-16","4.00","138.40"
"X15","2022-06-27","6.00","138.40"
"X18","2022-08-01","3.00","138.40"
"X21","2022-09-29","5.00","138.40"
"X24","2022-10-12","10.00","138.40"
"X27","2022-11-07","3.00","101.48"
"X29","2022-11-28","4.00","101.48"
"X34","2023-01-18","3.00","101.48"
"X37","2023-02-13","6.00","101.48"
"X40","2023-02-27","4.00","101.48"
