"","x","y","z"
"X1","2022-01-10","3.00","187.16"
"X4","2022-02-07","6.00","187.16"
"X7","2022-03-21","3.00","187.16"
"X10","2022-04-11","4.00","187.16"
"X13","2022-05-30","5.00","187.16"
"X16","2022-07-18","3.00","235.80"
"X19","2022-08-22","2.00","235.80"
"X22","2022-09-30","6.00","235.80"
"X25","2022-10-24","10.00","215.89"
"X28","2022-11-14","4.00","215.89"
"X31","2022-12-12","2.00","215.89"
"X34","2023-01-18","4.00","215.89"
"X37","2023-02-13","3.00","215.89"
"X40","2023-02-27","6.00","215.89"
