"","x","y","z"
"X1","2022-01-10","2.00","656.64"
"X3","2022-01-24","3.00","656.64"
"X5","2022-02-14","2.00","656.64"
"X6","2022-02-28","2.00","656.64"
"X8","2022-03-28","5.00","839.40"
"X10","2022-04-11","3.00","839.40"
"X12","2022-05-16","2.00","839.40"
"X13","2022-05-30","2.00","839.40"
"X16","2022-07-18","5.00","1215.00"
"X18","2022-08-01","2.00","1215.00"
"X20","2022-09-01","2.00","1215.00"
"X22","2022-09-30","3.00","1215.00"
"X25","2022-10-24","10.00","1398.00"
"X26","2022-10-31","5.00","1398.00"
"X28","2022-11-14","2.00","1398.00"
"X30","2022-12-05","6.00","1398.00"
"X33","2023-01-16","2.00","1590.60"
"X35","2023-01-30","3.00","1590.60"
"X37","2023-02-13","2.00","1590.60"
"X40","2023-02-27","3.00","1590.60"
